,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,minimal_salary,maximal_salary,average_salary,python,sql,power bi,excel,tableau
0,"Data Analyst, Center on Immigration and Justice (CIJ)",3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,1961.0,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),,37.0,66.0,51.5,True,True,False,False,False
1,Quality Data Analyst,3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,1893.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),,37.0,66.0,51.5,False,True,False,True,False
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,37.0,66.0,51.5,True,True,False,True,True
3,Data Analyst,4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,2002.0,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),,37.0,66.0,51.5,False,True,False,False,True
4,Reporting Data Analyst,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009.0,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,37.0,66.0,51.5,True,True,False,True,False
5,Data Analyst,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014.0,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
6,Business/Data Analyst (FP&A),4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001.0,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
7,Data Science Analyst,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914.0,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",37.0,66.0,51.5,True,True,False,False,False
8,Data Analyst,4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896.0,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",37.0,66.0,51.5,True,True,False,True,False
9,"Data Analyst, Merchant Health",4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,2013.0,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",37.0,66.0,51.5,True,True,False,False,False
10,Data Analyst,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841.0,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",37.0,66.0,51.5,False,False,False,True,False
