,location,jobs
0,"Austin, TX",81
1,"Brooklyn, NY",13
2,"Burbank, CA",17
3,"Charlotte, NC",78
4,"Chicago, IL",130
5,"Columbus, OH",29
6,"Cupertino, CA",13
7,"Dallas, TX",66
8,"Denver, CO",47
9,"El Segundo, CA",19
10,"Fort Worth, TX",16
11,"Hampton, VA",13
12,"Houston, TX",72
13,"Indianapolis, IN",17
14,"Irving, TX",29
15,"Jacksonville, FL",19
16,"Jersey City, NJ",33
17,"Long Beach, CA",13
18,"Los Angeles, CA",80
19,"Menlo Park, CA",11
20,"Mountain View, CA",15
21,"New York, NY",310
22,"Norfolk, VA",18
23,"Oakland, CA",11
24,"Palo Alto, CA",14
25,"Philadelphia, PA",56
26,"Phoenix, AZ",35
27,"Plano, TX",28
28,"Redmond, WA",11
29,"Redwood City, CA",12
30,"Salt Lake City, UT",22
31,"San Antonio, TX",45
32,"San Diego, CA",62
33,"San Francisco, CA",119
34,"San Jose, CA",38
35,"San Mateo, CA",18
36,"Santa Clara, CA",22
37,"Scottsdale, AZ",15
38,"Seattle, WA",30
39,"Sunnyvale, CA",16
40,"Tempe, AZ",31
41,"Wilmington, DE",11
42,Other,211
